time,RW_x,RW_y,RW_z,label,l_val,predicted_label,confidence
1.53E+12,4.543129,-3.9495063,-9.014449,bathing,5,5,0.47815445
1.53E+12,1.2494801,-4.935686,-9.339984,bathing,5,5,0.48033
1.53E+12,-0.512239,-17.468786,-9.454879,bathing,5,5,0.6412196
1.53E+12,1.4122477,-10.364462,-14.491097,bathing,5,3,0.2044738
1.53E+12,0.03351096,-8.688913,0.93351966,bathing,5,3,0.34577015
1.53E+12,-5.4718614,-7.137835,-7.8655014,flight_take_off,2,3,0.35708886
1.53E+12,-7.9899707,-1.9771467,-8.363379,flight_take_off,2,3,0.36605313
1.53E+12,-8.420826,-6.3144226,-4.926111,flight_take_off,2,3,0.33851558
1.53E+12,0.665432,-8.047418,5.49101,flight_take_off,2,4,0.27134168
1.53E+12,5.634629,-6.0750585,9.148493,flight_take_off,2,1,0.2240621
1.53E+12,0.22500217,-11.72405,-3.3367343,flight_take_off,2,1,0.43555528
1.53E+12,3.193116,-10.230418,-1.7186337,flight_take_off,2,1,0.40839615
